,id,maxLat,minLat,maxLong,minLong
54,54,-23.8119229,-23.8209229,-46.46714329999998,-46.47614329999998
55,55,-23.8119229,-23.8209229,-46.45814329999998,-46.46714329999998
56,56,-23.8119229,-23.8209229,-46.44914329999998,-46.45814329999998
57,57,-23.8119229,-23.8209229,-46.44014329999998,-46.44914329999998
58,58,-23.8119229,-23.8209229,-46.43114329999998,-46.44014329999998
59,59,-23.8119229,-23.8209229,-46.42214329999998,-46.43114329999998
60,60,-23.8119229,-23.8209229,-46.41314329999998,-46.42214329999998
61,61,-23.8119229,-23.8209229,-46.40414329999998,-46.41314329999998
62,62,-23.8119229,-23.8209229,-46.39514329999998,-46.40414329999998
63,63,-23.8119229,-23.8209229,-46.38614329999998,-46.39514329999998
64,64,-23.8119229,-23.8209229,-46.37714329999998,-46.38614329999998
65,65,-23.8119229,-23.8209229,-46.36814329999998,-46.37714329999998
66,66,-23.8119229,-23.8209229,-46.35914329999998,-46.36814329999998
67,67,-23.8119229,-23.8209229,-46.35014329999998,-46.35914329999998
68,68,-23.8119229,-23.8209229,-46.34114329999998,-46.35014329999998
69,69,-23.8119229,-23.8209229,-46.33214329999998,-46.34114329999998
70,70,-23.8119229,-23.8209229,-46.32314329999998,-46.33214329999998
71,71,-23.8119229,-23.8209229,-46.31414329999998,-46.32314329999998
72,72,-23.8119229,-23.8209229,-46.305143299999976,-46.31414329999998
73,73,-23.8119229,-23.8209229,-46.296143299999976,-46.305143299999976
74,74,-23.8119229,-23.8209229,-46.287143299999975,-46.296143299999976
75,75,-23.8119229,-23.8209229,-46.278143299999975,-46.287143299999975
76,76,-23.8119229,-23.8209229,-46.269143299999975,-46.278143299999975
77,77,-23.8119229,-23.8209229,-46.260143299999974,-46.269143299999975
78,78,-23.8029229,-23.8119229,-46.9531433,-46.9621433
79,79,-23.8029229,-23.8119229,-46.9441433,-46.9531433
80,80,-23.8029229,-23.8119229,-46.9351433,-46.9441433
81,81,-23.8029229,-23.8119229,-46.9261433,-46.9351433
82,82,-23.8029229,-23.8119229,-46.9171433,-46.9261433
83,83,-23.8029229,-23.8119229,-46.9081433,-46.9171433
84,84,-23.8029229,-23.8119229,-46.8991433,-46.9081433
85,85,-23.8029229,-23.8119229,-46.8901433,-46.8991433
86,86,-23.8029229,-23.8119229,-46.8811433,-46.8901433
87,87,-23.8029229,-23.8119229,-46.8721433,-46.8811433
88,88,-23.8029229,-23.8119229,-46.8631433,-46.8721433
89,89,-23.8029229,-23.8119229,-46.8541433,-46.8631433
90,90,-23.8029229,-23.8119229,-46.8451433,-46.8541433
91,91,-23.8029229,-23.8119229,-46.836143299999996,-46.8451433
92,92,-23.8029229,-23.8119229,-46.827143299999996,-46.836143299999996
93,93,-23.8029229,-23.8119229,-46.818143299999996,-46.827143299999996
94,94,-23.8029229,-23.8119229,-46.809143299999995,-46.818143299999996
95,95,-23.8029229,-23.8119229,-46.800143299999995,-46.809143299999995
96,96,-23.8029229,-23.8119229,-46.791143299999995,-46.800143299999995
97,97,-23.8029229,-23.8119229,-46.782143299999994,-46.791143299999995
98,98,-23.8029229,-23.8119229,-46.773143299999994,-46.782143299999994
99,99,-23.8029229,-23.8119229,-46.76414329999999,-46.773143299999994
100,100,-23.8029229,-23.8119229,-46.75514329999999,-46.76414329999999
101,101,-23.8029229,-23.8119229,-46.74614329999999,-46.75514329999999
102,102,-23.8029229,-23.8119229,-46.73714329999999,-46.74614329999999
103,103,-23.8029229,-23.8119229,-46.72814329999999,-46.73714329999999
104,104,-23.8029229,-23.8119229,-46.71914329999999,-46.72814329999999
105,105,-23.8029229,-23.8119229,-46.71014329999999,-46.71914329999999
